line,level1,level2
Public Art Installations: Commissioning and maintenance of public art installations and sculptures.,"Recreation, culture and religion",Cultural services
Indigenous Cultural Preservation: Programs specifically focused on preserving and promoting indigenous cultures and traditions.,"Recreation, culture and religion",Cultural services
Cultural Exchange Programs: Funding for exchange programs to promote cultural understanding and diversity.,"Recreation, culture and religion",Cultural services
Film and Media Development Grants: Grants to support local film and media projects.,"Recreation, culture and religion",Cultural services
Art Gallery Exhibitions: Financial support for organizing and hosting art exhibitions.,"Recreation, culture and religion",Cultural services
Cultural Research Grants: Funding for academic and cultural research projects.,"Recreation, culture and religion",Cultural services
"Music and Concert Series: Sponsorship of music events, concerts, and series in public spaces.","Recreation, culture and religion",Cultural services
Youth Cultural Engagement: Initiatives to engage young people in cultural activities and heritage.,"Recreation, culture and religion",Cultural services
Digital Cultural Archives: Development and maintenance of digital archives for cultural and historical materials.,"Recreation, culture and religion",Cultural services
Cultural Centers in Communities: Establishment and operation of cultural centers in various communities.,"Recreation, culture and religion",Cultural services
"Artist-in-Residence Programs: Funding for artist-in-residence programs in schools, museums, and communities.","Recreation, culture and religion",Cultural services
Cultural Tourism Promotion: Initiatives to promote cultural tourism in the region.,"Recreation, culture and religion",Cultural services
Art Therapy Programs: Implementation of art therapy programs in healthcare and community settings.,"Recreation, culture and religion",Cultural services
Multicultural Community Events: Support for events that celebrate and showcase multicultural diversity.,"Recreation, culture and religion",Cultural services
Folklore and Oral History Projects: Projects to record and preserve local folklore and oral histories.,"Recreation, culture and religion",Cultural services
"Literary Arts Promotion: Initiatives to promote reading, writing, and literary arts in the community.","Recreation, culture and religion",Cultural services
Cultural Workforce Development: Training and development programs for cultural sector professionals.,"Recreation, culture and religion",Cultural services
Accessibility Improvements for Cultural Venues: Ensuring that cultural venues are accessible to all members of the community.,"Recreation, culture and religion",Cultural services
Public Broadcasting Funding: Financial support for public radio and television broadcasting services.,"Recreation, culture and religion",Broadcasting and publishing services
Digital Transition of Broadcasting Services: Investment in upgrading broadcasting equipment and services to digital formats.,"Recreation, culture and religion",Broadcasting and publishing services
Local News Program Support: Funding local news programs to ensure coverage of community-relevant issues.,"Recreation, culture and religion",Broadcasting and publishing services
Educational Programming Initiatives: Development and broadcasting of educational content and programs.,"Recreation, culture and religion",Broadcasting and publishing services
"Public Access Television Facilities: Support for public access TV channels, including equipment and training.","Recreation, culture and religion",Broadcasting and publishing services
"Broadcasting Infrastructure Maintenance: Maintenance and upgrading of broadcasting infrastructure, like transmission towers.","Recreation, culture and religion",Broadcasting and publishing services
Government News Services: Funding for the production and dissemination of government-related news and information.,"Recreation, culture and religion",Broadcasting and publishing services
Community Radio Support: Financial assistance for community radio stations.,"Recreation, culture and religion",Broadcasting and publishing services
Online Content Development: Investment in the creation and management of online content platforms.,"Recreation, culture and religion",Broadcasting and publishing services
Journalism Training Programs: Support for training and development programs for journalists.,"Recreation, culture and religion",Broadcasting and publishing services
Multilingual Broadcasting Services: Providing broadcasting services in multiple languages to serve diverse communities.,"Recreation, culture and religion",Broadcasting and publishing services
Public Service Announcement Production: Funding for the creation and dissemination of public service announcements.,"Recreation, culture and religion",Broadcasting and publishing services
Archiving Broadcast Materials: Preservation and archiving of historical broadcasting materials.,"Recreation, culture and religion",Broadcasting and publishing services
Media Literacy Programs: Initiatives to educate the public on media literacy and critical consumption of content.,"Recreation, culture and religion",Broadcasting and publishing services
Emergency Broadcasting Systems: Maintenance and enhancement of emergency broadcasting systems for public safety.,"Recreation, culture and religion",Broadcasting and publishing services
"Subsidies for Print Media: Financial support for newspapers and magazines, particularly in under-served areas.","Recreation, culture and religion",Broadcasting and publishing services
Cultural and Arts Program Broadcasting: Development and broadcasting of cultural and arts programming.,"Recreation, culture and religion",Broadcasting and publishing services
Broadcasting Equipment Subsidies for Schools: Providing equipment and resources to schools for educational broadcasting purposes.,"Recreation, culture and religion",Broadcasting and publishing services
"Digital Publishing Initiatives: Support for digital publishing platforms, including e-books and online journals.","Recreation, culture and religion",Broadcasting and publishing services
Independent Media Development: Grants and subsidies to support independent media outlets.,"Recreation, culture and religion",Broadcasting and publishing services
Podcasting and New Media Projects: Funding for the development of podcasting and emerging new media formats.,"Recreation, culture and religion",Broadcasting and publishing services
"Accessibility Services for Broadcasting: Providing closed captioning, audio descriptions, and other accessibility services in broadcasting.","Recreation, culture and religion",Broadcasting and publishing services
Broadcasting Regulatory and Oversight Functions: Funding regulatory bodies overseeing broadcasting standards and practices.,"Recreation, culture and religion",Broadcasting and publishing services
"Media Research and Development: Investment in research on media trends, technology, and audience behaviors.","Recreation, culture and religion",Broadcasting and publishing services
International Broadcasting Services: Support for international broadcasting to promote cultural exchange and global outreach,"Recreation, culture and religion",Broadcasting and publishing services
Construction of Mosques,"Recreation, culture and religion",Religious and other community services
Construction of Masjid - Provincial Projects,"Recreation, culture and religion",Religious and other community services
Faith-based Community Support Programs: Funding for community programs operated by religious institutions.,"Recreation, culture and religion",Religious and other community services
Interfaith Dialogue Initiatives: Initiatives to promote dialogue and understanding among different religious groups.,"Recreation, culture and religion",Religious and other community services
Maintenance of Religious Sites: Financial support for the upkeep and preservation of religious sites and buildings.,"Recreation, culture and religion",Religious and other community services
Religious Education Programs: Funding for educational programs that promote religious teachings and values.,"Recreation, culture and religion",Religious and other community services
"Community Outreach Services: Support for services like food banks, homeless shelters, and counseling, often run by religious groups.","Recreation, culture and religion",Religious and other community services
Youth and Family Services: Funding for programs aimed at supporting youth and families within religious communities.,"Recreation, culture and religion",Religious and other community services
Religious Cultural Preservation: Initiatives to preserve cultural heritage associated with religious traditions.,"Recreation, culture and religion",Religious and other community services
Interfaith Community Events: Sponsorship of community events that bring together people of different faiths.,"Recreation, culture and religion",Religious and other community services
Spiritual Counseling Services: Support for counseling services offered through religious institutions.,"Recreation, culture and religion",Religious and other community services
Religious Volunteer Training Programs: Training programs for volunteers engaging in community service through religious organizations.,"Recreation, culture and religion",Religious and other community services
Faith-based Substance Abuse Programs: Funding for substance abuse recovery programs run by religious groups.,"Recreation, culture and religion",Religious and other community services
Religious Arts and Music Programs: Support for arts and music programs that have a religious or spiritual focus.,"Recreation, culture and religion",Religious and other community services
"Chaplaincy Services: Funding for chaplaincy services in hospitals, prisons, and the military.","Recreation, culture and religion",Religious and other community services
Community Mediation and Conflict Resolution: Initiatives to use faith-based approaches for mediation and conflict resolution.,"Recreation, culture and religion",Religious and other community services
Emergency Relief Funds: Support for religious organizations providing aid during disasters and emergencies.,"Recreation, culture and religion",Religious and other community services
Faith-based Environmental Initiatives: Funding for environmental stewardship programs guided by religious principles.,"Recreation, culture and religion",Religious and other community services
Social Justice and Advocacy: Support for faith-based groups engaged in social justice and advocacy work.,"Recreation, culture and religion",Religious and other community services
Religious Library and Resource Centers: Funding for libraries and resource centers that focus on religious studies and materials.,"Recreation, culture and religion",Religious and other community services
Interfaith Educational Scholarships: Scholarships for educational programs promoting interfaith understanding and cooperation.,"Recreation, culture and religion",Religious and other community services
Religious Media and Communication Projects: Support for media projects that convey religious teachings and values.,"Recreation, culture and religion",Religious and other community services
Community Integration Programs: Initiatives to help integrate faith-based communities into wider societal networks.,"Recreation, culture and religion",Religious and other community services
Cultural Exchange Programs within Faith Communities: Programs that promote cultural exchange and understanding within and between faith communities.,"Recreation, culture and religion",Religious and other community services
Spiritual Wellness and Retreat Programs: Funding for retreats and programs focused on spiritual wellness and development.,"Recreation, culture and religion",Religious and other community services
Interfaith Peacebuilding Initiatives: Projects aimed at building peace and understanding through interfaith efforts.,"Recreation, culture and religion",Religious and other community services
Grants for Religious Research and Studies: Funding for academic research and studies in the field of religious and theological studies.,"Recreation, culture and religion",Religious and other community services
"Development of New Recreational Technologies: Funding for innovative technologies in sports and recreation, like augmented reality games.","Recreation, culture and religion","R&D Recreation, culture and religion"
Studies on Physical Activity and Health: Research on the health benefits of various recreational activities.,"Recreation, culture and religion","R&D Recreation, culture and religion"
"Recreational Space Design Research: Innovative designs for parks, playgrounds, and public recreational spaces.","Recreation, culture and religion","R&D Recreation, culture and religion"
Accessibility in Recreation Facilities: Development of more accessible recreational facilities for people with disabilities.,"Recreation, culture and religion","R&D Recreation, culture and religion"
Impact of Recreation on Mental Health: Studies examining the effects of recreational activities on mental health and well-being.,"Recreation, culture and religion","R&D Recreation, culture and religion"
Cultural Heritage Preservation Techniques: Advanced methods for preserving and restoring cultural heritage artifacts and sites.,"Recreation, culture and religion","R&D Recreation, culture and religion"
Digital Archiving Innovations: Developing new digital archiving techniques for cultural artifacts and records.,"Recreation, culture and religion","R&D Recreation, culture and religion"
Cultural Impact Studies: Research into the impact of cultural initiatives and programs on communities.,"Recreation, culture and religion","R&D Recreation, culture and religion"
Ethnographic and Anthropological Research: Deepening understanding of diverse cultural practices and their meanings.,"Recreation, culture and religion","R&D Recreation, culture and religion"
Cultural Exchange Efficacy Studies: Evaluating the effectiveness of cultural exchange programs in promoting understanding.,"Recreation, culture and religion","R&D Recreation, culture and religion"
Interfaith Dialogue Strategies: Research into effective strategies for promoting interfaith understanding and dialogue.,"Recreation, culture and religion","R&D Recreation, culture and religion"
Religious Practices and Social Impact: Studies on how religious practices influence social norms and behaviors.,"Recreation, culture and religion","R&D Recreation, culture and religion"
Historical Studies of Religious Movements: Research into the historical development and impact of various religious movements.,"Recreation, culture and religion","R&D Recreation, culture and religion"
"Theology and Philosophy Research: In-depth study in fields of theology and philosophy, including comparative studies.","Recreation, culture and religion","R&D Recreation, culture and religion"
Religious and Spiritual Well-being: Researching the impacts of religious beliefs and practices on individual well-being.,"Recreation, culture and religion","R&D Recreation, culture and religion"
Early Childhood Education Centers: Funding for the establishment and operation of pre-primary education centers.,Education,Pre-primary and primary education
Teacher Salaries for Pre-primary Education: Wages and benefits for teachers in early childhood education.,Education,Pre-primary and primary education
"Educational Materials for Pre-primary: Purchase of books, toys, and other educational materials for young children.",Education,Pre-primary and primary education
"Early Childhood Development Programs: Initiatives focused on cognitive, emotional, and social development in early childhood.",Education,Pre-primary and primary education
Nutrition Programs for Pre-schoolers: Providing healthy meals and snacks for children in pre-primary education centers.,Education,Pre-primary and primary education
Training and Development for Pre-primary Educators: Professional development opportunities for early childhood educators.,Education,Pre-primary and primary education
Playground and Facilities Equipment: Funding for playground equipment and facilities maintenance in pre-primary centers.,Education,Pre-primary and primary education
Special Education Services in Pre-primary: Resources for special education services within early childhood education.,Education,Pre-primary and primary education
Parental Involvement Programs: Initiatives to engage parents in the educational process of their young children.,Education,Pre-primary and primary education
Language Development Programs: Programs focused on language acquisition and development in early childhood.,Education,Pre-primary and primary education
Primary School Infrastructure: Building and maintaining infrastructure for primary schools.,Education,Pre-primary and primary education
Primary School Teacher Salaries: Salaries and benefits for primary school teachers.,Education,Pre-primary and primary education
Curriculum Development for Primary Education: Development and updating of curriculum materials for primary education.,Education,Pre-primary and primary education
Technology in Primary Classrooms: Investment in technology resources like computers and educational software for primary schools.,Education,Pre-primary and primary education
"Extracurricular Activities and Programs: Funding for extracurricular programs including sports, arts, and clubs in primary schools.",Education,Pre-primary and primary education
Transportation for Primary School Students: Providing transportation services for students to and from primary schools.,Education,Pre-primary and primary education
Literacy and Numeracy Programs: Specialized programs to enhance literacy and numeracy skills.,Education,Pre-primary and primary education
"Library Resources for Primary Schools: Development and maintenance of school libraries, including book purchases.",Education,Pre-primary and primary education
"Inclusive Education Initiatives: Programs to ensure inclusive education for all students, regardless of ability.",Education,Pre-primary and primary education
"Health and Wellness Education: Initiatives focused on physical education, health, and general well-being.",Education,Pre-primary and primary education
Teacher Training and Certification: Training programs and certification for educators in both pre-primary and primary levels.,Education,Pre-primary and primary education
Educational Assessment Tools: Development and purchase of tools to assess student learning and development.,Education,Pre-primary and primary education
Counseling Services for Students: Providing counseling services to address the emotional and psychological needs of young students.,Education,Pre-primary and primary education
Safety and Security Measures in Schools: Implementing safety and security protocols in educational institutions.,Education,Pre-primary and primary education
Community Partnership Programs: Partnerships with local organizations and businesses to enhance educational opportunities.,Education,Pre-primary and primary education
School Infrastructure in North Nyamira/ Borabu,Education,Pre-primary and primary education
Kenya Primary Education Project GPE,Education,Pre-primary and primary education
Kenya Primary Education Project - GPE.,Education,Pre-primary and primary education
Kenya Primary Education Project (GPE) - Headquarters,Education,Pre-primary and primary education
Primary Schools infrastructure Improvement.,Education,Pre-primary and primary education
Improve Infrastructure in Low-Cost Boarding Schools in ASALs - ESP,Education,Pre-primary and primary education
Provision of Locally Fabricated Desks for Primary Schools under ESP,Education,Pre-primary and primary education
Infrastructure support to Dipondo Primary Marachi West School-Busia,Education,Pre-primary and primary education
Infrastructure support to Malela Primary- Homa Bay,Education,Pre-primary and primary education
Infrastructure Support to Homa Bay Primary School - Homa Bay,Education,Pre-primary and primary education
Establishment of Muhoho TTC,Education,Pre-primary and primary education
Establishment of Tom Mboya TTC,Education,Pre-primary and primary education
Provision of Locally Fabricated Desks for Secondary Schools under ESP,Education,Pre-primary and primary education
Construction of dormitory at Uaso Girls Secondary School-Samburu,Education,Pre-primary and primary education
Construction of laboratory and classroom at Seiya Boys-Samburu,Education,Pre-primary and primary education
Construction of two classrooms at Narashu Boys-Samburu,Education,Pre-primary and primary education
Infrastructure support to Kalapata Girls Secondary School - Turkana,Education,Pre-primary and primary education
Infrastructure support to Sisenyi Mixed Secondary School-Busia,Education,Pre-primary and primary education
Construction of tuition block at Burumba Secondary School-Busia,Education,Pre-primary and primary education
Construction of dormitory at Tipito Girls Secondary School-Samburu,Education,Pre-primary and primary education
Construction of Mitihani House.,Education,Pre-primary and primary education
Construction and Equipment for Schools.,Education,Pre-primary and primary education
Education Infrastructure Development,Education,Pre-primary and primary education
Islamic Education,Education,Pre-primary and primary education
Basic Education and literacy,Education,Pre-primary and primary education
Construction of Schools in Seven Big Cities,Education,Pre-primary and primary education
Reopening of closed schools,Education,Pre-primary and primary education
Construction of Schools for Displaced and Returnees,Education,Pre-primary and primary education
"Middle School Building and Maintenance: Funding for the construction, maintenance, and upgrade of middle school buildings.",Education,Secondary education
Lower-Secondary Teacher Salaries: Salaries and benefits for teachers at the lower-secondary level.,Education,Secondary education
Science Lab Equipment: Investment in laboratory equipment for science education in middle schools.,Education,Secondary education
"Technology Integration in Classrooms: Resources for integrating modern technology, like computers and smart boards, in classrooms.",Education,Secondary education
"Extracurricular Activities and Clubs: Funding for after-school programs, including sports, arts, and academic clubs.",Education,Secondary education
Counseling Services for Adolescents: Providing counseling and guidance services for lower-secondary students.,Education,Secondary education
Special Education Resources: Resources and support for special education programs at the middle school level.,Education,Secondary education
"Library Expansion and Resources: Funding for library resources, including books and digital media.",Education,Secondary education
Language and Literacy Development: Programs focused on language learning and literacy enhancement.,Education,Secondary education
Career Guidance and Counseling: Initiatives to guide students in career choices and future education paths.,Education,Secondary education
"High School Infrastructure Development: Investment in the infrastructure of high schools, including classrooms and facilities.",Education,Secondary education
Upper-Secondary Teacher Training: Professional development and training programs for high school teachers.,Education,Secondary education
Advanced Placement and Honors Programs: Support for advanced academic programs for high-achieving students.,Education,Secondary education
Vocational and Technical Education Programs: Funding for vocational and technical education tracks within high schools.,Education,Secondary education
Athletic Programs and Facilities: Development and maintenance of athletic programs and sports facilities.,Education,Secondary education
"Arts and Music Education: Resources for arts education, including music, visual arts, and theater.",Education,Secondary education
Student Leadership Development: Programs to promote leadership skills and civic engagement among high school students.,Education,Secondary education
College and University Preparation: Resources and programs to prepare students for higher education.,Education,Secondary education
Student Wellness Programs: Initiatives promoting physical and mental wellness among teenagers.,Education,Secondary education
"Technology and STEM Education: Emphasis on STEM (Science, Technology, Engineering, Math) education and technological skills.",Education,Secondary education
Educational Assessment and Evaluation Tools: Tools and systems to assess and evaluate student learning and progress.,Education,Secondary education
Bullying Prevention Programs: Initiatives to address and prevent bullying in schools.,Education,Secondary education
Educational Field Trips and Learning Experiences: Funding for educational trips and experiential learning opportunities.,Education,Secondary education
School Safety and Emergency Preparedness: Ensuring schools are prepared for emergencies and maintaining student safety.,Education,Secondary education
Parent and Community Engagement Programs: Initiatives to engage parents and the community in the educational process.,Education,Secondary education
Vocational Training Programs: Funding for vocational schools offering specialized training in trades and technical skills.,Education,Post-secondary non-tertiary education
Technical Education Institutes: Investment in technical institutes that provide post-secondary non-degree courses.,Education,Post-secondary non-tertiary education
Adult Education Programs: Programs aimed at providing adult education and continuing education opportunities.,Education,Post-secondary non-tertiary education
Career and Technical Educator Salaries: Salaries and benefits for teachers and instructors in technical and vocational education.,Education,Post-secondary non-tertiary education
Curriculum Development for Technical Courses: Development of curriculum and educational materials for vocational and technical courses.,Education,Post-secondary non-tertiary education
Skill Certification Programs: Funding for programs that offer certifications in various technical and vocational skills.,Education,Post-secondary non-tertiary education
Workplace Training Partnerships: Partnerships with businesses and industries for on-the-job training and apprenticeships.,Education,Post-secondary non-tertiary education
Facility Upgrades for Technical Institutes: Upgrading facilities with modern equipment and technology for practical training.,Education,Post-secondary non-tertiary education
Scholarships for Vocational Education: Providing scholarships or financial aid for students pursuing vocational education.,Education,Post-secondary non-tertiary education
Distance Learning and Online Education Programs: Development of online courses and distance learning options for non-tertiary education.,Education,Post-secondary non-tertiary education
Language and Literacy Education: Programs focused on improving language and literacy skills among post-secondary students.,Education,Post-secondary non-tertiary education
Career Counseling and Guidance Services: Offering career counseling and guidance to help students make informed choices.,Education,Post-secondary non-tertiary education
Internship and Cooperative Education Programs: Support for internships and co-op programs that combine classroom learning with work experience.,Education,Post-secondary non-tertiary education
"Entrepreneurship and Business Skills Training: Courses and workshops on entrepreneurship, business skills, and start-up creation.",Education,Post-secondary non-tertiary education
Teacher Training in Vocational Education: Professional development and training for vocational education teachers.,Education,Post-secondary non-tertiary education
Labor Market Research: Research to align vocational programs with current and future labor market needs.,Education,Post-secondary non-tertiary education
"Life Skills and Personal Development Programs: Courses on life skills, financial literacy, and personal development.",Education,Post-secondary non-tertiary education
"Student Support Services: Providing support services such as counseling, tutoring, and academic advising.",Education,Post-secondary non-tertiary education
Community Outreach Programs: Outreach initiatives to raise awareness and promote vocational and technical education in communities.,Education,Post-secondary non-tertiary education
Safety Training and Certification: Programs focusing on workplace safety and health training.,Education,Post-secondary non-tertiary education
"Industry-Specific Training Programs: Specialized training programs catering to specific industry needs, like hospitality or healthcare.",Education,Post-secondary non-tertiary education
Environmental and Sustainable Practices Training: Courses on environmental sustainability and green practices in various trades.,Education,Post-secondary non-tertiary education
"Cultural and Arts Vocational Programs: Vocational programs in cultural and artistic fields, such as culinary arts or fashion design.",Education,Post-secondary non-tertiary education
Technology Integration in Vocational Education: Incorporating advanced technology and software tools into vocational training.,Education,Post-secondary non-tertiary education
"Accessibility and Inclusion Initiatives: Ensuring vocational and technical education programs are accessible to all, including students with disabilities.",Education,Post-secondary non-tertiary education
Lereshwa Youth Polytechnic,Education,Tertiary education
Nyagwethe Youth Polytechnic ,Education,Tertiary education
Ebusiralo Youth Polytechnic ,Education,Tertiary education
Mfangano Youth Polytechnic ,Education,Tertiary education
St. Joseph's Makutano Youth Polytechnic,Education,Tertiary education
Kyemole Youth Polytechnic,Education,Tertiary education
St. Johns Makutano Youth Polytechnic,Education,Tertiary education
Technical University of Kenya,Education,Tertiary education
Murang'a University College,Education,Tertiary education
Egerton University,Education,Tertiary education
Construction of Building and Purchase Equipment for kandahar University (western zone),Education,Tertiary education
Construction of Building and Purchase Equipment for Nangrahar University (east zone),Education,Tertiary education
Construction of boundary wall of a new buildings and water system for Kunduz University,Education,Tertiary education
University Infrastructure Development: Funding for the construction and maintenance of university buildings and facilities.,Education,Tertiary education
Tertiary Education Scholarships: Scholarships and financial aid programs for students.,Education,Tertiary education
"Faculty Salaries and Benefits: Salaries, benefits, and professional development for university faculty.",Education,Tertiary education
Research Grants and Funding: Support for academic research projects across various disciplines.,Education,Tertiary education
Technology Upgrades in Classrooms: Investment in modern educational technology and digital resources for teaching.,Education,Tertiary education
"Library Resources and Digital Access: Funding for university library resources, including subscriptions to academic journals and digital platforms.",Education,Tertiary education
"Student Support Services: Resources for student counseling, career services, and academic advising.",Education,Tertiary education
Laboratory Equipment and Facilities: Investment in state-of-the-art laboratory equipment for scientific research and teaching.,Education,Tertiary education
Online Education and Distance Learning Programs: Development and maintenance of online courses and distance learning infrastructure.,Education,Tertiary education
"Art and Cultural Facilities: Support for arts education, including theaters, art studios, and galleries.",Education,Tertiary education
Campus Safety and Security: Funding for campus security infrastructure and personnel.,Education,Tertiary education
Sustainability Initiatives: Initiatives to promote environmental sustainability on campus.,Education,Tertiary education
Athletic Programs and Facilities: Investment in university athletic programs and sports facilities.,Education,Tertiary education
Community Engagement Programs: Initiatives that connect tertiary institutions with local communities.,Education,Tertiary education
Entrepreneurship and Innovation Hubs: Creation and support of entrepreneurship centers and innovation hubs within universities.,Education,Tertiary education
Student Housing and Accommodation: Maintenance and development of student housing facilities.,Education,Tertiary education
International Exchange Programs: Funding for student and faculty exchange programs with overseas institutions.,Education,Tertiary education
"Academic Conference and Seminar Funding: Resources for hosting academic conferences, workshops, and seminars.",Education,Tertiary education
"Industry Partnership Programs: Collaboration with industry for research, internships, and job placements.",Education,Tertiary education
Specialized Degree Programs: Development and support of specialized degree programs addressing emerging fields.,Education,Tertiary education
Disability Support Services: Services and accommodations for students with disabilities.,Education,Tertiary education
Continuing Education and Lifelong Learning: Programs for adult learners and continuing education.,Education,Tertiary education
"Cultural Competence and Diversity Programs: Initiatives to promote diversity, equity, and inclusion on campus.",Education,Tertiary education
"Alumni Relations and Development: Efforts to engage alumni for networking, development, and fundraising.",Education,Tertiary education
Adult Literacy Programs: Funding for programs aimed at improving literacy among adults.,Education,Education not definable by level
Continuing Education Courses: Investment in non-degree courses for personal or professional development for adults.,Education,Education not definable by level
Educational Workshops for Seniors: Programs specifically designed for senior citizens to engage in learning activities.,Education,Education not definable by level
Public Educational Broadcasting: Funding for educational television and radio programming accessible to a broad audience.,Education,Education not definable by level
Community Learning Centers: Support for centers offering a range of educational services and programs to local communities.,Education,Education not definable by level
Language Learning Programs for Immigrants: Specialized programs to assist immigrants and refugees in learning the local language.,Education,Education not definable by level
Special Needs Education Programs: Funding for educational programs tailored to individuals with special needs.,Education,Education not definable by level
Workforce Re-Training Initiatives: Programs to re-train workers for new job skills in changing industries.,Education,Education not definable by level
Cultural Education Programs: Initiatives that educate about and celebrate cultural heritage and diversity.,Education,Education not definable by level
Online Learning Platforms: Development and maintenance of online platforms offering various educational content.,Education,Education not definable by level
"Life Skills Education: Programs focusing on practical life skills like financial literacy, cooking, and home management.",Education,Education not definable by level
Art and Music Community Education: Non-formal education programs in the arts for community members.,Education,Education not definable by level
"Public Lectures and Forums: Organization of public lectures, forums, and discussions on a range of topics.",Education,Education not definable by level
Environmental Education Programs: Initiatives focused on educating the public about environmental issues and sustainability.,Education,Education not definable by level
"Health and Wellness Education: Educational programs on health, nutrition, and wellness.",Education,Education not definable by level
Civic Education Initiatives: Programs that educate citizens about their civic rights and responsibilities.,Education,Education not definable by level
Education for Sustainable Development: Funding for programs that integrate principles of sustainable development into education.,Education,Education not definable by level
Coding and Digital Literacy Workshops: Programs to enhance digital literacy and coding skills for all ages.,Education,Education not definable by level
Entrepreneurship Education: Initiatives to promote and support entrepreneurial skills and mindset.,Education,Education not definable by level
Career Exploration Programs for Youth: Programs that help young people explore different career paths.,Education,Education not definable by level
Educational Exchange Programs: Support for exchange programs that provide educational experiences in different cultural settings.,Education,Education not definable by level
Parenting Education Programs: Courses and workshops to support and educate new and expectant parents.,Education,Education not definable by level
Library Development Programs: Funding for the development of public libraries as educational resources.,Education,Education not definable by level
Education in Prisons: Educational programs and resources for inmates in correctional facilities.,Education,Education not definable by level
Non-Formal Education for Marginalized Groups: Initiatives providing accessible education to marginalized or underserved populations.,Education,Education not definable by level
Student Transportation Services: Funding for school buses and other transportation services to ensure students can safely commute to and from educational institutions.,Education,Subsidiary services to education
"Educational Technology Support: Investment in technology infrastructure and support services, including computer labs and IT support staff.",Education,Subsidiary services to education
"School Meals and Nutrition Programs: Provision of healthy meals for students, particularly in underprivileged areas.",Education,Subsidiary services to education
Maintenance of School Facilities: Funding for the upkeep and maintenance of educational buildings and grounds.,Education,Subsidiary services to education
Counseling and Psychological Services: Resources for counseling and mental health services available to students.,Education,Subsidiary services to education
"Special Education Support Services: Additional support for special education, including aides and specialized equipment.",Education,Subsidiary services to education
"Library and Resource Center Operations: Funding for the operation of school libraries and resource centers, including staffing and material acquisition.",Education,Subsidiary services to education
After-School Programs and Childcare: Support for after-school care and educational programs.,Education,Subsidiary services to education
"Extracurricular Activity Funding: Funding for extracurricular activities, including clubs, sports, and arts.",Education,Subsidiary services to education
Career Guidance and Job Placement Services: Services to assist students with career planning and job placement.,Education,Subsidiary services to education
Educational Assessment and Testing Services: Administration and scoring of standardized tests and assessments.,Education,Subsidiary services to education
Teacher Professional Development: Funding for ongoing training and professional development opportunities for teachers.,Education,Subsidiary services to education
Health Services in Educational Settings: Provision of health services such as school nurses and health education.,Education,Subsidiary services to education
Pedagogical Research: Funding for research into teaching methods and pedagogies to improve classroom instruction.,Education,R&D Education
"Educational Technology Development: Investment in the development of new educational technologies, like learning management systems and educational apps.",Education,R&D Education
Curriculum Design Research: Research into effective curriculum design and content development.,Education,R&D Education
Special Education Research: Studies focused on improving education for students with special needs.,Education,R&D Education
Educational Psychology Studies: Research into how students learn and the psychological aspects of education.,Education,R&D Education
Distance Learning Methodologies: Development and assessment of online and distance learning models.,Education,R&D Education
Early Childhood Education Research: Studies focusing on the developmental needs and effective teaching strategies for early learners.,Education,R&D Education
Assessment and Evaluation Tools Development: Creating new tools and methods for assessing and evaluating student learning.,Education,R&D Education
Disability Benefits: Financial assistance programs for individuals unable to work due to disability.,Social protection,Sickness and disability
Medical Expense Subsidies: Subsidies to help cover medical expenses for those with chronic illnesses or disabilities.,Social protection,Sickness and disability
"Rehabilitation Services: Funding for rehabilitation services, including physical, occupational, and speech therapy.",Social protection,Sickness and disability
In-home Care Support: Financial support for in-home care services for individuals with severe illnesses or disabilities.,Social protection,Sickness and disability
"Assistive Technology and Equipment: Subsidies for purchasing or renting assistive devices such as wheelchairs, hearing aids, and adaptive software.",Social protection,Sickness and disability
Specialized Transportation Services: Transportation services for individuals with mobility challenges or special needs.,Social protection,Sickness and disability
Disability Inclusion Programs: Initiatives to promote the inclusion and participation of disabled individuals in various aspects of society.,Social protection,Sickness and disability
"Mental Health Services: Funding for mental health care and support, particularly for those with long-term mental health issues.",Social protection,Sickness and disability
Occupational Health Programs: Programs aimed at preventing and managing work-related illnesses and injuries.,Social protection,Sickness and disability
Respite Care for Caregivers: Providing temporary relief services for caregivers of individuals with serious health conditions.,Social protection,Sickness and disability
Accessible Housing Grants: Grants to modify homes for accessibility for people with disabilities.,Social protection,Sickness and disability
Special Education Programs: Educational programs and resources for children with disabilities or special needs.,Social protection,Sickness and disability
"Chronic Disease Management Programs: Support for individuals managing chronic diseases, including education and self-care assistance.",Social protection,Sickness and disability
Disability Awareness and Advocacy: Funding for campaigns and initiatives to raise awareness and advocate for the rights of disabled individuals.,Social protection,Sickness and disability
Employment Assistance for Disabled Persons: Programs to assist individuals with disabilities in finding and retaining employment.,Social protection,Sickness and disability
Health Insurance Premium Subsidies: Assistance with health insurance premiums for low-income individuals with serious health conditions.,Social protection,Sickness and disability
Training for Healthcare Professionals: Specialized training for healthcare professionals in treating and supporting patients with disabilities and chronic illnesses.,Social protection,Sickness and disability
Support Groups and Counseling: Funding for support groups and counseling services for individuals with disabilities and their families.,Social protection,Sickness and disability
Nutritional Assistance Programs: Nutritional support for individuals with specific dietary needs due to their health conditions.,Social protection,Sickness and disability
Early Intervention Services: Services for early detection and intervention for disabilities in children.,Social protection,Sickness and disability
Accessibility Improvements in Public Spaces: Investments to make public spaces more accessible for individuals with disabilities.,Social protection,Sickness and disability
